text-input,output
Your personal data is used for limited purposes,60
The cookies used by this service do not contain information that would personally identify you,50
Users can access most of the pages on the service's website without revealing any personal information,60
Third-party cookies are used for statistics,10
Blocking first party cookies may limit your ability to use the service,50
Tracking via third-party cookies for advertising,70
"This service collects your IP address, which can be used to view your approximate location",0
This service may keep personal data after a request for erasure for business interests or legal obligations,70
The service provides two factor authentication for your account,25
This service gives your personal data to third parties involved in its operation,35
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
This service is a subsidiary of Twilio,10
A complaint mechanism is provided for the handling of personal data,30
Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,60
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
This service forces users into binding arbitration in the case of disputes,50
You waive your right to a class action.,50
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
"When the service wants to make a material change to its terms, users are notified at least 30 days in advance",40
You are responsible for maintaining the security of your account and for the activities on your account,10
You agree to defend and indemnify the service in case of a claim related to your use of the service,60
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,50
The service provides a complete list of all cookies set by its website,40
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
Your personal data is used for limited purposes,60
You can limit how your information is used by the service,50
A complaint mechanism is provided for the handling of personal data,30
The service does not use third-party analytics or tracking platforms,25
The service provides details about what kinds of information they collect,30
Users can access most of the pages on the service's website without revealing any personal information,60
Your personal data is aggregated into statistics,10
The service allows you to use pseudonyms,20
The court of law governing the terms is in Germany,0
Content is published under a free license instead of a bilateral one,90
This service does not track you,100
IP addresses of website visitors are not tracked,50
"You can request access, correction and/or deletion of your data",50
The service informs users about the risk of publishing personal info online,40
User logs are deleted after a finite period of time,80
Features of the website are made available under a free software license,90
The service does not share user information with third parties,50
The user is informed about security practices,15
Third parties are involved in operating the service,0
Only necessary user logs are kept by the service to ensure quality,50
You can opt out of promotional communications,10
The service can distribute your content through any media known now or in the future ,50
This service keeps a license on user-generated content even after users close their accounts.,50
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
They may stop providing the service at any time,40
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
You sign away moral rights,50
This service keeps a license on user-generated content even after users close their accounts.,50
Users agree to comply with the law of the service's country,0
The service is provided 'as is' and to be used at the users' sole risk,20
"Users are responsible for any risks, damages, or losses they may incur by downloading materials",50
The service provides information about how they intend to use your personal data,30
The service may collect extra data about you through promotions,50
"Users agree not to submit libelous, harassing or threatening content",20
You have the right to leave this service at any time,15
You cannot distribute or disclose your account to third parties,10
The service provides details about what kinds of personal information they collect,30
This service receives your location through GPS coordinates,45
The service uses your personal data to employ targeted third-party advertising,40
This service requires first-party cookies,10
This service collects your IP address for location use,0
Tracking via third-party cookies for other purposes without your consent.,70
You maintain ownership of your data,50
This service employs a broad copyright license over user content including the right to distribute through any media,50
You are responsible for maintaining the security of your account and for the activities on your account,10
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",50
This service can license user content to third parties,50
The service can delete specific content without prior notice and without a reason,50
Users agree not to use the service for illegal purposes,10
This service may use your personal information for marketing purposes,50
This service does not sell your personal data,25
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,50
Blocking first party cookies may limit your ability to use the service,50
Third parties used by the service are bound by confidentiality obligations,20
This service allows you to retrieve an archive of your data,40
This service may keep personal data after a request for erasure for business interests or legal obligations,70
Your data may be processed and stored anywhere in the world,25
This service uses third-party cookies for statistics,10
This service tracks you on other websites,60
The service uses your personal data for advertising,30
This service tracks which web page referred you to it,50
Your personal data is aggregated into statistics,10
"You cannot delete your contributions, but it makes sense for this service",20
The service allows you to use pseudonyms,20
"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",20
You authorise the service to charge a credit card supplied on re-occurring basis,50
You can opt out of targeted advertising,25
"If you are the target of a copyright claim, your content may be removed",15
This service is only available to users over a certain age,15
The service can read your private messages,70
This service gathers information about you through third parties,50
The service does not guarantee accuracy or reliability of the information provided,10
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
There is a date of the last update of the agreements,50
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
Provides instructions on how to submit a copyright claim,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
Third parties may be involved in operating the service,0
This service can share your personal information to third parties ,70
The service informs users about the risk of publishing personal info online,40
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",25
This service does not condone any ideas contained in its user-generated contents,35
The service promises to inform and/or notify users regarding government inquiries that may involve users' personal data,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,40
They may stop providing the service at any time,40
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,50
The terms for this service are translated into different languages,0
There is a date of the last update of the terms,50
The service is provided 'as is' and to be used at the users' sole risk,20
Users agree not to use the service for illegal purposes,10
No third-party tracking platforms are used,25
You maintain ownership of your data,50
The service provides two factor authentification for your account,25
"The service may change its terms at any time, but the user will receive notification of the changes.",0
The court of law governing the terms is in location X,0
This service only uses temporary session cookies,20
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
The service does not share user information with third parties,50
You have the right to leave this service at any time,15
You are responsible for maintaining the security of your account and for the activities on your account,10
Details are provided about what kind of information they collect,30
"Your IP address is collected, which can be used to view your approximate location",0
You can delete your content from this service,50
This service can delete your content if you violate the terms,50
Your personal data is used for limited purposes,60
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,50
"User-generated content is encrypted, and this service cannot decrypt it",50
You have the right to leave this service at any time,15
The service does not guarantee accuracy or reliability of the information provided,10
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
The service provides two factor authentification for your account,25
You are responsible for maintaining the security of your account and for the activities on your account,10
They may stop providing the service at any time,40
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
The service does not guarantee that software errors will be corrected,50
The service can suspend or terminate your access to all or any part of the Website and refuse service to anyone for any reason at any time,60
This service throttles your use,30
This service prohibits users from attempting to gain unauthorized access to other computer systems,20
This service gives your personal data to third parties involved in its operation,35
"The court of law governing the terms is in California, USA",0
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",50
Third-party cookies are used for statistics,10
Some personal data may be kept for business interests or legal obligations,70
Information is provided about what kind of information they collect,30
Information is provided about how they collect personal data,50
Information is provided about how your personal data is used,30
Extra data may be collected about you through promotions,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
"Users are responsible for any risks, damages, or losses they may incur by downloading materials",50
The service is provided 'as is' and to be used at the users' sole risk,20
This service is only available to users of age 13 and up,15
Features of the website are made available under a free software license (AGPL) v3.0,90
The terms for this service are easy to read,15
You authorise the service to charge a credit card supplied on re-occurring basis,50
You are entitled to a refund if certain thresholds or standards are not met by the service,30
Promises will be kept after a merger or acquisition,50
This service holds onto content that you've deleted,30
The service can delete specific content without reason and may do it without prior notice,50
" Terms may be changed any time at their discretion, without notice to the user ",70
This service is only available to users over a certain age,15
"The court of law governing the terms is in California, USA",0
You waive your moral rights,50
The service does not guarantee accuracy or reliability of the information provided,10
Users have a reduced time period to take legal action against the service,50
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
They may stop providing the service at any time,40
You are responsible for maintaining the security of your account and for the activities on your account,10
You maintain ownership of your data,50
"Users can scrape the site, as long as it doesn't impact the server too much",50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
You can opt out of targeted advertising,25
You must report to the service any unauthorized use of your account or any breach of security,10
The service informs you that its privacy policy does not apply to third party websites,10
The service has non-exclusive use of your content,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
The user is informed about security practices,15
The service is provided 'as is' and to be used at the users' sole risk,20
"This service collects your IP address, which can be used to view your approximate location",0
There is a date of the last update of the agreements,50
Blocking first party cookies may limit your ability to use the service,50
This service assumes no responsibility and liability for the contents of links to other websites,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
Details are provided about what kind of information they collect,30
You are forced into binding arbitration in case of disputes,50
You are responsible for maintaining the security of your account and for the activities on your account,10
You must provide your identifiable information,80
You have the right to leave this service at any time,15
"You agree not to submit libelous, harassing or threatening content",20
"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",25
You agree not to use the service for illegal purposes,10
Your account can be deleted without prior notice and without a reason,60
Your personal data is not sold,25
They may stop providing the service at any time,40
This service assumes no liability for unauthorized access to your personal information,30
Information is provided about how your personal data is used,30
This service is only available for use individually and non-commercially (except for Business VPN accounts),25
Your personal data may be used for marketing purposes,50
Third-party cookies are used for advertising,70
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
"If you offer suggestions to the service, they become the owner of the ideas that you give them",50
The service does not guarantee that software errors will be corrected,50
" Terms may be changed any time at their discretion, without notice to you ",70
"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",20
Information is provided about security practices,15
The court of law governing the terms is in Hong Kong,0
This service gives your personal data to third parties involved in its operation,35
You can opt out of promotional communications,10
Your data may be processed and stored anywhere in the world,25
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
Third-party cookies are used for statistics,10
No VPN logs policy,50
This service is only available to users over 18 years of age,15
You cannot distribute or disclose your account to third parties,10
You are entitled to a refund if certain thresholds or standards are not met by the service,30
Many third parties are involved in operating the service,50
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
Instructions are provided on how to submit a copyright claim,10
"EU residents can request access, correction and/or deletion of their data",50
User accounts can be terminated after having been in breach of the terms of service repeatedly,50
The cookies used by this service do not contain information that would personally identify you,50
Your account can be suspended for several reasons,15
"The court of law governing the terms is in the State of New York, U.S.A.",0
The service does not guarantee that software errors will be corrected,50
This service prohibits users from attempting to gain unauthorized access to other computer systems,20
The terms for this service are translated into different languages,0
There is a date of the last update of the agreements,50
" Terms may be changed any time at their discretion, without notice to the user ",70
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
The service is provided 'as is' and to be used at the users' sole risk,20
The service can suspend your account for several reasons,15
"Users agree not to submit libelous, harassing or threatening content",20
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
"Spidering, crawling, or accessing the site through any automated means is not allowed",20
User accounts can be terminated after having been in breach of the terms of service repeatedly,50
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",10
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,50
Third parties are involved in operating the service,0
This service gives your personal data to third parties involved in its operation,35
"Your IP address is collected, which can be used to view your approximate location",0
Third parties used by the service are bound by confidentiality obligations,20
You can opt out of providing personal information to third parties,50
"You can request access, correction and/or deletion of your data",50
Third-party cookies are used for statistics,10
Logs are kept for an undefined period of time,100
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",50
This Service provides a list of Third Parties involved in its operation.,20
This service tracks which web page referred you to it,50
Promises will be kept after a merger or acquisition,50
Third-party cookies are used for advertising,70
This service still tracks you even if you opted out from tracking,30
This service reserves the right to disclose your personal information without notifying you,50
Information is gathered about you through third parties,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
"You cannot delete your contributions, but it makes sense for this service",20
This service does not allow alternative accounts,30
The service uses social media cookies/pixels,50
You are allowed to quote their content with attribution,50
This service assumes no liability for unauthorized access to your personal information,30
Users can access most of the pages on the service's website without revealing any personal information,60
"This service collects your IP address, which can be used to view your approximate location",0
Third-party cookies are used for statistics,10
This service keeps user logs for an undefined period of time,100
Prohibits the publishing of personally identifiable information without the owner’s consent,0
The service has non-exclusive use of your content,10
This service forces users into binding arbitration in the case of disputes,50
The service can delete your account without prior notice and without a reason,60
Tracking via third-party cookies for advertising,70
"The court of law governing the terms is in Delaware, USA",0
You are responsible for maintaining the security of your account and for the activities on your account,10
The service can distribute your content through any media ,50
This service reserves the right to edit any content you post ,70
First-party cookies are used,10
Information is provided about how your personal data is used,30
You can opt out of targeted advertising,25
The service provides a complete list of all cookies set by its website,40
This service is only available for use individually and non-commercially.,25
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",25
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,20
The service can delete specific content without reason and may do it without prior notice,50
The service does not guarantee accuracy or reliability of the information provided,10
Service can block or censor user communications,60
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
The service provides information about how they intend to use your personal data,30
"The court of law governing the terms is in location Madrid, Spain",0
You can opt out of targeted advertising,25
A complaint mechanism is provided for the handling of personal data,30
Third-party cookies are used for statistics,10
This service allows you to retrieve an archive of your data,40
You can request access and deletion of personal data,50
The service allows you to use pseudonyms,20
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service assumes no responsibility and liability for the contents of links to other websites,50
This service does not condone any ideas contained in its user-generated contents,35
You cannot distribute or disclose your account to third parties,10
Users agree not to use the service for illegal purposes,10
This service is only available to users over a certain age,15
The service has non-exclusive use of your content,10
This service may keep personal data after a request for erasure for business interests or legal obligations,70
This service may use your personal information for marketing purposes,50
This service can license user content to third parties,50
You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,40
This service assumes no liability for unauthorized access to your personal information,30
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
Third parties used by the service are bound by confidentiality obligations,20
You can limit how your information is used by third-parties and the service,50
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,50
Blocking first party cookies may limit your ability to use the service,50
Tracking cookies refused will not limit your ability to use the service,50
"The service may change its terms at any time, but the user will receive notification of the changes.",0
They may stop providing the service at any time,40
The service can delete your account without prior notice and without a reason,60
Tracking via third-party cookies for purposes including advertising,70
The service uses your personal data for advertising,30
This service shares your personal data with third parties that are not involved in its operation,70
Service can block or censor user communications,60
Third parties are involved in operating the service,0
User logs are deleted after a finite period of time,80
Your personal data is aggregated into statistics,10
This service provides an onion site accessible over Tor,40
"This service collects your IP address, which can be used to view your approximate location",0
The service does not share user information with third parties,50
Your personal data is used for limited purposes,60
There is a date of the last update of the agreements,50
A complaint mechanism is provided for the handling of personal data,30
Your personal data will not be used for an automated decision-making,40
"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",25
The service provides a free help desk,10
"This service does not collect, use, or share location data",25
The website is open-source,30
This service assumes no responsibility and liability for the contents of links to other websites,50
This service allows you to retrieve an archive of your data,40
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,50
"You can request access, correction and/or deletion of your data",50
" Terms may be changed any time at their discretion, without notice to you ",70
The service has a no refund policy,50
There is a date of the last update of the terms,50
This service is only available to users of a certain age,15
You maintain ownership of your data,50
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
Your personal data is used for limited purposes,60
The service is provided 'as is' and to be used at the users' sole risk,20
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
The court of law governing the terms is in location X,0
You have the right to leave this service at any time,15
Users agree not to use the service for illegal purposes,10
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
This service will warn users about website maintenance,30
The service gives 30 days of notice before closing your account,15
The service promises to inform and/or notify users regarding government inquiries that may involve users' personal data,50
You are responsible for maintaining the security of your account and for the activities on your account,10
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
The service provides two factor authentification for your account,25
You are responsible for maintaining the security of your account and for the activities on your account,10
This service allows you to retrieve an archive of your data,40
Any liability on behalf of the service is only limited to the fees you paid as a user,10
You have the right to leave this service at any time,15
This service retains rights to your content even after you stop using your account,25
You can delete your content from this service,50
The service allows you to use pseudonyms,20
Your personal data is aggregated into statistics,10
The service informs users about the risk of publishing personal info online,40
This service only uses temporary session cookies,20
"The service may keep a secure, anonymized record of users' data for analytical purposes even after the data retention period",40
The service promises to inform and/or notify users regarding government inquiries that may involve users' personal data,50
The service provides a complete list of all cookies set by its website,40
Service does not allow alternative accounts,30
The service is provided 'as is' and to be used at the users' sole risk,20
You can choose the copyright license,10
Users agree not to use the service for illegal purposes,10
The service provides details about what kinds of personal information they collect,30
Blocking cookies may limit your ability to use the service,50
"When the service wants to change its terms, users are notified a week or more in advance.",15
User logs are deleted after a finite period of time,80
"The service provides information about its attitude towards ethical, social or political problems or controversies",25
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
The service has a no refund policy,50
You have the right to leave this service at any time,15
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,50
You can request access and deletion of personal data,50
You can delete your content from this service,50
The service can distribute your content through any media known now or in the future ,50
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
The court of law governing the terms is in location France,0
This service is only available for use individually and non-commercially.,25
"Users agree not to submit libelous, harassing or threatening content",20
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service forces users into binding arbitration in the case of disputes,50
This service's add-on may view your browser history,50
Prohibits public posting of private messages,50
Tracking via third-party cookies for purposes including advertising,70
The service can delete your account without a reason,60
This service prohibits users from attempting to gain unauthorized access to other computer systems,20
This service does not allow alternative accounts,30
You are responsible for maintaining the security of your account and for the activities on your account,10
This service may use your personal information for marketing purposes,50
The services will notify users if personal data has been affected by data breaches,30
This service requires first-party cookies,10
The service uses your personal data for advertising,30
" Terms may be changed any time at their discretion, without notice to the user ",70
Blocking first party cookies may limit your ability to use the service,50
"This service employs third-party cookies, but with opt-out instructions",5
This service uses third-party cookies for statistics,10
This service reserves the right to disclose your personal information without notifying you,50
This service gives your personal data to third parties involved in its operation,35
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
"This service collects your IP address, which can be used to view your approximate location",0
"If you are the target of a copyright claim, your content may be removed",15
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,20
You authorise the service to charge a credit card supplied on re-occurring basis,50
Your profile is combined across various products,50
This service assumes no responsibility and liability for the contents of links to other websites,50
The service provides a complete list of all marketing cookies set by its website,40
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
This service may use your personal information for marketing purposes,50
This service uses third-party cookies for statistics,10
The service can delete specific content without reason and may do it without prior notice,50
You maintain ownership of your data,50
They may stop providing the service at any time,40
Users agree not to use the service for illegal purposes,10
The service can delete your account without prior notice and without a reason,60
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,50
This service is only available to users over a certain age,15
This service collects your IP address for location use,0
The service uses your personal data to employ targeted third-party advertising,40
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
You can opt out of promotional communications,10
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
The service provides details about what kinds of personal information they collect,30
The terms for this service are easy to read,15
This service requires first-party cookies,10
The service provides information about how they intend to use your personal data,30
"defend, indemnify, hold harmless; survives termination",35
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
The service will only respond to government requests that are reasonable,30
The service provides information about how they collect personal data,50
Your profile is combined across various products,50
"This service employs third-party cookies, but with opt-out instructions",5
This service tracks which web page referred you to it,50
The service may collect extra data about you through promotions,50
This service gathers information about you through third parties,50
Your personal data is aggregated into statistics,10
Your personal data is given to third parties,35
Tracking pixels are used in service-to-user communication,5
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
This service tracks you on other websites,60
The service uses your personal data for advertising,30
Blocking first party cookies may limit your ability to use the service,50
The service collects many different types of personal data,70
This service reserves the right to disclose your personal information without notifying you,50
You must create an account to use this service,25
This service can license user content to third parties,50
You have the right to leave this service at any time,15
This service provides archives of their Terms of Service so that changes can be viewed over time,50
The service warns you of the potential consequences related to third-party access,30
You maintain ownership of your data,50
This service does not sell your personal data,25
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
"This service may collect, use, and share location data",75
Your personal data is aggregated into statistics,10
You can choose with whom you share content,0
The service may collect extra data about you through promotions,50
There is a date of the last update of the agreements,50
The service is provided 'as is' and to be used at the users' sole risk,20
You authorise the service to charge a credit card supplied on re-occurring basis,50
The service has non-exclusive use of your content,10
This services gives no guarantee regarding quality,20
The service does not guarantee that software errors will be corrected,50
This service prohibits users from attempting to gain unauthorized access to other computer systems,20
Spidering or crawling is not allowed,20
Prohibits the posting of pornographic content,15
This service does not condone any ideas contained in its user-generated contents,35
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
The service does not guarantee accuracy or reliability of the information provided,10
You waive your right to a class action.,50
Any liability on behalf of the service is only limited to the fees you paid as a user or $50,10
This service is only available for use individually and non-commercially.,25
Provides instructions on how to submit a copyright claim,10
"Users agree not to submit libelous, harassing or threatening content",20
"defend, indemnify, hold harmless; survives termination",35
This service forces users into binding arbitration in the case of disputes for users outside the EU,50
Users have a reduced time period to take legal action against the service,50
The service can suspend your account for several reasons,15
They may stop providing the service at any time,40
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
This service uses third-party cookies for statistics,10
This service requires first-party cookies,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
Your personal data is given to third parties,35
This service tracks which web page referred you to it,50
Tracking via third-party cookies for advertising,70
Third parties may be involved in operating the service,0
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
"This service collects your IP address, which can be used to view your approximate location",0
The service can distribute your content through any media known now or in the future ,50
You must report to the service any unauthorized use of your account or any breach of security,10
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",50
This service is only available to users over a certain age,15
You are responsible for maintaining the security of your account and for the activities on your account,10
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
Users agree not to use the service for illegal purposes,10
Your identity is used in ads that are shown to other users,90
Your biometric data is collected,30
The service can delete your account without prior notice and without a reason,60
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
This service can share your personal information to third parties ,70
You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,40
This service does not sell your personal data,25
This service does not track you,100
The service can delete specific content without reason and may do it without prior notice,50
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",25
"Users agree not to submit libelous, harassing or threatening content",20
There is a date of the last update of the agreements,50
This service employs third-party cookies,5
The service can suspend your account for several reasons,15
Users who have been permanently banned from this service are not allowed to re-register under a new account,20
This service requires first-party cookies,10
Third parties are involved in operating the service,0
This service assumes no responsibility and liability for the contents of links to other websites,50
"This service collects your IP address, which can be used to view your approximate location",0
Prohibits the posting of pornographic content,15
The service provides details about what kinds of personal information they collect,30
The service does not share user information with third parties,50
The user is informed about security practices,15
Users agree not to submit illegal content,0
Users agree not to use the service for illegal purposes,10
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,20
You can request access and deletion of personal data,50
This service is only available to users over a certain age,15
The services will notify users if personal data has been affected by data breaches,30
You are prohibited from posting content which promotes violence or politically or religiously extremist values.,20
You can delete your content from this service,50
"The service may change its terms at any time, but the user will receive notification of the changes.",0
This service tracks which web page referred you to it,50
This service can license user content to third parties,50
This service uses third-party cookies for statistics,10
There is a date of the last update of the agreements,50
This service retains rights to your content even after you stop using your account,25
This service is only available to users over 13 years of age,15
The service can delete your account without prior notice and without a reason,60
"The service may change its terms at any time, but the user will receive notification of the changes.",0
You waive your right to a class action.,50
"If you offer suggestions to the service, they become the owner of the ideas that you give them",50
You maintain ownership of your data,50
Tracking pixels are used in service-to-user communication,5
The service uses your personal data for advertising,30
The service uses your personal data to employ targeted third-party advertising,40
Users have a reduced time period to take legal action against the service,50
Provides instructions on how to submit a copyright claim,10
The service provides information about how they intend to use your personal data,30
Your data may be processed and stored anywhere in the world,25
"This service collects your IP address, which can be used to view your approximate location",0
The service has non-exclusive use of your content,10
Tracking via third-party cookies for purposes including advertising,70
The service can distribute your content through any media known now or in the future ,50
Third parties are involved in operating the service,0
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service gives your personal data to third parties involved in its operation,35
The service provides information about how they collect personal data,50
Third parties used by the service are bound by confidentiality obligations,20
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
This service forces users into binding arbitration in the case of disputes,50
You are responsible for maintaining the security of your account and for the activities on your account,10
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
You can delete your content from this service,50
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
You maintain ownership of your data,50
This service keeps a license on user-generated content even after users close their accounts.,50
Your identity is used in ads that are shown to other users,90
This service reserves the right to disclose your personal information without notifying you,50
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,20
This service prohibits users from attempting to gain unauthorized access to other computer systems,20
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service does not force users into binding arbitration,50
The service provides information about how they intend to use your personal data,30
The service provides information about how they collect personal data,50
This service tracks which web page referred you to it,50
"This service collects your IP address, which can be used to view your approximate location",0
Tracking pixels are used in service-to-user communication,5
Your profile is combined across various products,50
Tracking via third-party cookies for advertising,70
